Name,Discount_percentage,Price,Rating,Release,Ends,Started
Kaori After Story,-75%,"R$ 8,24",90.78%,Dec 2018,,
Staffer Case: A Supernatural Mystery Adventure,-31%,"R$ 26,55",90.78%,Apr 2023,,
PARQUET,-45%,"R$ 28,86",90.77%,Aug 2021,,
Making*Lovers,-50%,"R$ 44,49",90.72%,Apr 2020,,
Grim Legends: The Forsaken Bride,-75%,"R$ 11,74",90.68%,Feb 2014,,
Frog Detective 2: The Case of the Invisible Wizard,-45%,"R$ 9,34",90.67%,Dec 2019,,
Cryptmaster,-15%,"R$ 62,89",90.67%,May 2024,,
Trackmania United Forever,-50%,"R$ 44,99",90.66%,Apr 2008,,
Her New Memory - Hentai Simulator,-66%,"R$ 11,21",90.63%,Feb 2022,,
Trailmakers,-75%,"R$ 11,87",90.54%,Sep 2019,,
Original War,-80%,"R$ 7,99",90.41%,Jun 2001,,
Four Last Things,-75%,"R$ 7,49",90.38%,Feb 2017,,
Arma 2: Operation Arrowhead,-80%,"R$ 9,99",90.36%,Jun 2010,,
Burger Shop,-50%,"R$ 7,24",90.28%,Oct 2007,,
Mutazione,-60%,"R$ 23,99",90.27%,Sep 2019,,
ACE Academy,-75%,"R$ 14,99",90.23%,Aug 2016,,
Hero of the Kingdom,-85%,"R$ 3,97",90.19%,Dec 2012,,
Blasphemous 2,-50%,"R$ 74,50",90.13%,Aug 2023,,
Atelier Sophie 2: The Alchemist of the Mysterious Dream,-50%,"R$ 149,50",90.12%,Feb 2022,,
Freshly Frosted,-42%,"R$ 12,00",90.08%,Jun 2022,,
Hero of the Kingdom II,-85%,"R$ 4,49",90.06%,Feb 2015,,
