Name,Discount_percentage,Price,Rating,Release,Ends,Started
Kung Fu Grand King,-50%,"R$ 13,44",71.30%,Apr 2022,,
The Last Federation,-75%,"R$ 14,99",71.22%,Apr 2014,,
Walking Zombie: Shooter,-65%,"R$ 5,94",71.20%,Jan 2018,,
One Night With Kawaii,-50%,"R$ 1,74",71.17%,Jun 2024,,
Zoo Simulator,-33%,"R$ 25,45",71.17%,Jul 2024,,
Steelrising,-23%,"R$ 87,38",71.17%,Sep 2022,—,
Restaurant Empire II,-60%,"R$ 23,99",71.14%,May 2009,,
Snow Plowing Simulator,-26%,"R$ 46,84",71.11%,Jun 2024,—,
Druid,-63%,"R$ 2,58",71.08%,Jan 2017,in 10 days,4 days ago
Black Geyser: Couriers of Darkness,-50%,"R$ 28,99",71.08%,Mar 2022,in 3 days,4 days ago
Keep in Mind: Remastered,-60%,"R$ 2,79",71.07%,Mar 2018,in 6 days,yesterday
Sandwalkers,-48%,"R$ 38,98",71.07%,Jun 2024,in 5 days,2 days ago
Kamikaze Kommittee Ouka 2,-30%,"R$ 20,29",71.04%,Feb 2022,in 11 days,yesterday
My Stepsis is a Furry Futa Fox,-33%,"R$ 2,33",71.02%,Oct 2022,in 3 days,4 days ago
Mad Smartphone Tycoon,-30%,"R$ 26,94",70.98%,Sep 2024,in 12 days,2 days ago
UFO: Aftershock,-80%,"R$ 2,75",70.89%,Oct 2005,in 3 days,4 days ago
XCOM®: Chimera Squad,-85%,"R$ 14,85",70.84%,Apr 2020,in 6 days,8 days ago
HumanitZ,-30%,"R$ 41,99",70.83%,Sep 2023,in 11 days,3 days ago
This Grand Life,-30%,"R$ 26,94",70.76%,Apr 2018,in 3 days,4 days ago
Underground Garage,-20%,"R$ 59,19",70.75%,Nov 2024,in 6 days,8 days ago
Romopolis,-80%,"R$ 3,39",70.74%,Mar 2009,in 3 days,4 days ago
Zombie Bar Simulator,-25%,"R$ 28,49",70.69%,Feb 2021,in 3 days,4 days ago
WWE 2K24,-61%,"R$ 248,76",70.63%,Mar 2024,—,6 hours ago
Citystate II,-60%,"R$ 19,60",70.60%,Sep 2021,in 3 days,8 days ago
晴末置雨,-30%,"R$ 3,14",70.60%,Jul 2022,,
Alien Breed 3: Descent,-90%,"R$ 1,99",70.59%,Nov 2010,,
My Yandere Sister loves me too much!,-45%,"R$ 16,49",70.54%,Oct 2020,,
NeuraGun,-53%,"R$ 12,86",70.53%,Jan 2022,—,
Firelight Fantasy: Vengeance,-13%,"R$ 20,60",70.53%,Jan 2022,—,
Dark Deity,-75%,"R$ 14,18",70.52%,Jun 2021,,
Firelight Fantasy: Resistance,-13%,"R$ 20,60",70.52%,Jul 2021,—,
Fairy Biography4 : Affair,-25%,"R$ 10,87",70.50%,Jun 2023,,
Far Cry® 6,-75%,"R$ 62,49",70.48%,May 2023,,
Furry Fantasy,-65%,"R$ 5,07",70.48%,Jul 2022,,
FAIRY TAIL,-67%,"R$ 82,46",70.46%,Jul 2020,,
Pet Shop Simulator,-33%,"R$ 31,48",70.46%,Jun 2024,,
Broken Pieces,-75%,"R$ 18,49",70.44%,Sep 2022,,
Swords Fantasy: Battlefield,-94%,"R$ 4,01",70.43%,Mar 2023,,
Do Not Feed the Monkeys 2099,-55%,"R$ 21,14",70.41%,May 2023,,
Legend of the Master Baiter,-20%,"R$ 26,39",70.41%,Jun 2024,,
The Crush House,-25%,"R$ 39,74",70.40%,Aug 2024,,
Chef: A Restaurant Tycoon Game,-85%,"R$ 5,69",70.37%,Aug 2020,,
Bee Simulator,-95%,"R$ 2,39",70.36%,Nov 2020,,
Arctico,-80%,"R$ 6,00",70.36%,Feb 2022,,
Mira and the Mysteries of Alchemy,-45%,"R$ 20,89",70.33%,Oct 2020,,
Wells,-50%,"R$ 6,89",70.27%,Jan 2017,,
Unmatched: Digital Edition,-20%,"R$ 78,39",70.27%,Feb 2023,,
How 2 Escape,-65%,"R$ 16,44",70.18%,Aug 2023,,
Dread Dawn,-20%,"R$ 47,99",70.14%,Oct 2024,,
Overclocked: A History of Violence,-80%,"R$ 9,99",70.10%,Apr 2008,,
Bluey: The Videogame,-25%,"R$ 80,99",70.10%,Nov 2023,,
Revival: Recolonization,-25%,"R$ 66,74",70.07%,Apr 2024,,
Dead In Bermuda,-80%,"R$ 5,59",70.06%,Aug 2015,,
Deepening Fire,-70%,"R$ 11,54",70.06%,Apr 2023,,
Pythagoria,-7%,"R$ 3,62",70.05%,Jan 2016,—,
Furry Sex: Pirates 🏴‍☠️,-60%,"R$ 5,79",70.04%,Sep 2022,,
Kitaria Fables,-90%,"R$ 5,99",70.03%,Sep 2021,,
Pax Dei,-25%,"R$ 156,67",70.03%,Jun 2024,,
Brothel Secrets 🔞,-40%,"R$ 19,79",70.01%,Jan 2024,,
First Dwarf,-34%,"R$ 71,18",69.99%,Jun 2024,—,
METAL SLUG ATTACK RELOADED,-30%,"R$ 34,79",69.99%,Jun 2024,,
Time Treker,-22%,"R$ 18,33",69.91%,Nov 2024,,
Succubus Girl Story,-35%,"R$ 2,26",69.81%,Mar 2022,,
Project Chemistry,-40%,"R$ 25,19",69.79%,Jun 2021,,
Halfway,-80%,"R$ 8,39",69.78%,Jul 2014,,
Chocolate makes you happy 2,-72%,"R$ 1,95",69.77%,Dec 2017,,
Lead and Gold: Gangs of the Wild West,-90%,"R$ 2,64",69.76%,Apr 2010,,
Wounded - The Beginning,-89%,"R$ 2,58",69.75%,Feb 2019,,
Bionic Commando,-68%,"R$ 5,43",69.74%,Jul 2009,,
Arma Reforger,-34%,"R$ 71,08",69.73%,Nov 2023,,
Self Shot,-80%,"R$ 2,09",69.72%,Jun 2019,,
Country Girl Keiko,-40%,"R$ 18,59",69.72%,Jan 2020,,
Psychic Guardian Super Splendor,-60%,"R$ 15,19",69.70%,May 2021,,
Lords and Villeins,-75%,"R$ 18,49",69.69%,Nov 2022,,
Slave's Sword,-60%,"R$ 11,59",69.68%,Dec 2018,,
My Stepmom is a Futanari,-33%,"R$ 2,33",69.67%,Jul 2021,,
Lower? Higher!,-20%,"R$ 26,39",69.65%,Nov 2024,,
Kardboard Kings: Card Shop Simulator,-40%,"R$ 35,99",69.63%,Feb 2022,,
Bighead Runner,-90%,"R$ 1,74",69.62%,Jun 2018,,
降妖神兵,-40%,"R$ 6,29",69.61%,Mar 2023,,
Fleeting Iris,-30%,"R$ 26,59",69.60%,Apr 2021,,
Hentai IQ Puzzle,-50%,"R$ 1,74",69.52%,Sep 2018,,
Sex Faculty🔞,-35%,"R$ 21,44",69.52%,Mar 2024,,
PolyClassic: Wild,-95%,"R$ 3,34",69.51%,Oct 2021,,
Loretta's Brand-New Job,-40%,"R$ 17,39",69.49%,Jul 2023,,
Deep Secret,-20%,"R$ 11,03",69.49%,Oct 2023,,
EARTHLOCK,-80%,"R$ 18,00",69.48%,Mar 2018,,
Seek Girl V,-50%,"R$ 3,49",69.42%,Aug 2020,,
Nowhere Prophet,-70%,"R$ 14,24",69.40%,Jul 2019,,
Headbangers: Rhythm Royale,-80%,"R$ 25,00",69.38%,Oct 2023,,
Knights of Braveland,-60%,"R$ 23,99",69.36%,Feb 2023,,
Pricolage -IDOLIZED-,-50%,"R$ 13,24",69.33%,Feb 2024,,
The Crow's Eye,-65%,"R$ 11,54",69.30%,Mar 2017,,
Hope Lake,-75%,"R$ 3,99",69.29%,Jun 2016,,
Seek Girl Ⅶ,-50%,"R$ 3,49",69.28%,Dec 2020,,
Voltaire: The Vegan Vampire,-50%,"R$ 29,99",69.21%,Oct 2023,,
Magical Delicacy,-20%,"R$ 59,19",69.20%,Jul 2024,,
Lakeburg Legacies,-45%,"R$ 37,43",69.17%,Jul 2023,,
Alea Jacta Est,-70%,"R$ 22,19",69.16%,Sep 2012,,
Demon Hunter 2: New Chapter,-75%,"R$ 11,74",69.13%,Jul 2016,,
WARRIORS ALL-STARS,-75%,"R$ 26,49",69.11%,Aug 2017,,
Vegas: Make It Big™,-80%,"R$ 3,39",69.10%,Dec 2006,,
Cuckold Life Simulator 😳🔞,-55%,"R$ 10,57",69.10%,Jan 2023,,
Culpa Innata,-80%,"R$ 3,99",69.04%,Oct 2007,,
祛魅·教化（祛魅1）,-50%,"R$ 1,74",69.04%,May 2018,,
Magical Valkyrie Lyristia,-40%,"R$ 17,39",69.02%,Jul 2021,,
Wargroove 2,-30%,"R$ 41,99",69.01%,Oct 2023,,
Nemesis: Lockdown,-60%,"R$ 29,59",68.95%,May 2022,,
无休仙途,-17%,"R$ 17,00",68.94%,Jul 2024,in 5 days,9 days ago
Wild Indigo Ranch,-50%,"R$ 29,99",68.91%,Sep 2024,in 3 days,11 days ago
iFAction Game Maker,-49%,"R$ 65,27",68.90%,Jan 2020,in 10 days,4 days ago
Himeko Sutori,-50%,"R$ 28,99",68.86%,Jan 2021,in 3 days,4 days ago
Z Dawn,-75%,"R$ 5,17",68.85%,Dec 2019,in 3 days,4 days ago
Mato Anomalies,-60%,"R$ 30,00",68.76%,Mar 2023,in 5 days,9 days ago
My Stepsis is a Futanari,-33%,"R$ 2,33",68.75%,Oct 2021,in 3 days,4 days ago
Automachef,-85%,"R$ 11,98",68.74%,Jul 2019,in 3 days,11 days ago
Time Lock VR 1,-29%,"R$ 7,72",68.74%,Aug 2017,—,yesterday
aMAZE Double,-72%,"R$ 1,95",68.73%,Nov 2017,in 14 days,6 hours ago
回门 Way Back Home,-50%,"R$ 11,75",68.73%,Jan 2021,in 5 days,2 days ago
For The King II,-40%,"R$ 44,99",68.73%,Nov 2023,in 12 days,2 days ago
Recipe for Disaster,-73%,"R$ 12,68",68.72%,Aug 2022,in 3 days,4 days ago
Escape from Fortress Lugohm,-60%,"R$ 8,27",68.72%,Aug 2019,in 11 days,yesterday
TRANSFORMERS: BATTLEGROUNDS,-60%,"R$ 18,99",68.71%,Oct 2020,in 2 days,7 days ago
The Divine Invasion,-7%,"R$ 42,90",68.71%,Aug 2020,—,5 hours ago
Rogue Lords,-36%,"R$ 49,38",68.70%,Sep 2021,—,
Dark Train,-90%,"R$ 2,06",68.69%,Oct 2016,,
Etherborn,-65%,"R$ 18,37",68.66%,Jul 2019,,
Bloodshore,-61%,"R$ 18,32",68.62%,Nov 2021,,
Мухосранск | Russian City Sim,-50%,"R$ 1,74",68.62%,Jul 2021,,
Firelight Fantasy: Force Energy,-13%,"R$ 20,60",68.61%,Feb 2022,—,
Die for Valhalla!,-80%,"R$ 7,69",68.59%,May 2018,,
Megapolis,-80%,"R$ 3,39",68.55%,Sep 2010,,
Bionic Heart,-75%,"R$ 8,24",68.54%,Jul 2009,,
Royal Defense,-42%,"R$ 19,45",68.52%,Nov 2014,—,
Rainbow Snake,-50%,"R$ 1,74",68.51%,Oct 2017,,
Drunken Fight Simulator,-90%,"R$ 1,74",68.46%,Jan 2017,,
Firelight Fantasy: Phoenix Crew,-13%,"R$ 20,60",68.36%,Aug 2021,—,
Family Mysteries 2: Echoes of Tomorrow,-75%,"R$ 11,74",68.33%,Apr 2020,,
USC: Counterforce,-50%,"R$ 24,99",68.33%,Jul 2024,,
The Curse of Kubel,-50%,"R$ 14,49",68.32%,Jul 2020,,
Space Empires V,-80%,"R$ 9,39",68.31%,Oct 2006,,
"Warhammer 40,000: Darktide",-50%,"R$ 138,79",68.31%,Nov 2022,—,
Sex College 🔞,-40%,"R$ 19,79",68.26%,Mar 2024,,
Sex Euphoria 💖,-40%,"R$ 19,79",68.20%,Feb 2024,,
Clive 'N' Wrench,-75%,"R$ 14,49",68.18%,Feb 2023,,
Mirthwood,-10%,"R$ 66,59",68.17%,Nov 2024,,
S2ENGINE HD,-70%,"R$ 11,09",68.15%,Apr 2016,,
Soul Axiom,-63%,"R$ 13,68",68.14%,Feb 2016,,
Tyrant's Blessing,-60%,"R$ 23,99",68.13%,Aug 2022,,
Wildlife Park 2,-30%,"R$ 9,79",68.06%,May 2006,,
Winter,-72%,"R$ 1,95",68.04%,Mar 2022,,
For The Glory: A Europa Universalis Game,-75%,"R$ 8,99",68.03%,Nov 2009,,
我在地球修仙有系统,-25%,"R$ 33,75",68.03%,Aug 2023,,
A fascinating story,-10%,"R$ 29,69",68.03%,Jun 2024,,
Myth of Empires,-60%,"R$ 35,59",67.97%,Feb 2024,,
Soulash,-40%,"R$ 20,99",67.94%,Mar 2022,,
Fallen Angel,-50%,"R$ 14,49",67.91%,Oct 2020,,
Queen's Quest 4: Sacred Truce,-70%,"R$ 8,69",67.75%,Apr 2018,,
NeverSynth,-39%,"R$ 11,28",67.70%,Sep 2022,—,
War on Folvos,-75%,"R$ 3,44",67.66%,Sep 2006,,
RONIN,-80%,"R$ 8,39",67.63%,Jun 2015,,
Octave,-40%,"R$ 8,27",67.57%,Oct 2016,,
The Dwarf Run,-60%,"R$ 7,19",67.54%,Oct 2015,,
Furry Cyberfucker,-65%,"R$ 5,07",67.46%,Apr 2022,,
Killing Room,-65%,"R$ 16,44",67.44%,Oct 2016,,
"Sex, Camera, Action! 🔞",-35%,"R$ 21,44",67.38%,Jul 2024,,
Mind Games,-80%,"R$ 2,09",67.36%,Mar 2016,,
El Matador,-80%,"R$ 2,75",67.34%,Sep 2006,,
Cybernetic Fault,-7%,"R$ 42,90",67.31%,Sep 2020,—,
Frozen Cortex,-50%,"R$ 22,99",67.29%,Feb 2015,,
Warlock 2: The Exiled,-75%,"R$ 17,99",67.19%,Apr 2014,,
Rabbit Story,-50%,"R$ 4,34",67.19%,May 2017,,
Shades of Sakura,-61%,"R$ 1,75",67.17%,Jul 2021,,
富甲天下4,-25%,"R$ 24,74",67.15%,May 2023,,
Hentai Killer: Girls & Chess,-50%,"R$ 1,74",67.10%,Jun 2021,,
Heavy Burden,-53%,"R$ 12,86",67.09%,Sep 2023,—,
SEX Room 2 [18+],-35%,"R$ 8,96",67.07%,Apr 2023,,
The Witch of Fern Island,-40%,"R$ 44,39",67.05%,Feb 2024,,
Lust Epidemic 18+,-35%,"R$ 21,44",67.04%,Sep 2024,,
Ninja Stealth,-90%,"R$ 1,74",67.03%,Jun 2016,,
Alien Breed 2: Assault,-90%,"R$ 1,99",66.97%,Sep 2010,,
Sex Simulator,-80%,"R$ 2,09",66.94%,Jul 2019,,
Fast Food Manager,-20%,"R$ 23,19",66.93%,Apr 2021,,
Synthwave Burnout,-39%,"R$ 11,28",66.92%,Sep 2021,—,
Tokyo 42,-90%,"R$ 3,69",66.89%,May 2017,,
Super Dark Deception,-25%,"R$ 41,24",66.83%,Jul 2024,,
Hot And Lovely 2,-25%,"R$ 5,24",66.79%,Mar 2020,,
Gumboy Tournament,-50%,"R$ 5,24",66.76%,May 2008,,
Hero,-90%,"R$ 1,74",66.74%,Feb 2017,,
Satellite Repairman,-72%,"R$ 1,95",66.72%,Feb 2017,,
Marle: The Labyrinth of the Black Sea,-70%,"R$ 8,06",66.67%,May 2019,,
符文女孩/Rune Girl,-30%,"R$ 2,44",66.67%,Jun 2019,,
Cuckold Chair Simulator 2023,-40%,"R$ 8,27",66.65%,Oct 2023,,
Sacred Citadel,-75%,"R$ 4,99",66.62%,Apr 2013,,
Vanaris Tactics,-50%,"R$ 16,49",66.62%,Aug 2022,,
SEX SPA 🔞💦,-40%,"R$ 19,79",66.55%,Dec 2023,,
Slave's Sword 2,-55%,"R$ 13,04",66.51%,Feb 2019,,
Ordeal of Princess Eris,-65%,"R$ 10,14",66.50%,Jun 2019,,
One More Island,-75%,"R$ 14,99",66.43%,May 2022,,
NationWar:Chronicles | 国战:列国志传,-11%,"R$ 16,80",66.41%,Oct 2017,—,
RIOT: Civil Unrest,-80%,"R$ 6,59",66.35%,Feb 2019,,
PAW Patrol Mighty Pups Save Adventure Bay,-45%,"R$ 31,89",66.31%,Nov 2020,,
The Prism,-90%,"R$ 1,74",66.29%,Sep 2015,,
Miss Lisette's Assassin Maid,-50%,"R$ 10,34",66.26%,Sep 2019,,
Pool Cleaning Simulator,-26%,"R$ 46,84",66.26%,Jun 2024,—,
Freezeer,-50%,"R$ 1,74",66.23%,Jun 2018,,
We Are The Dwarves,-13%,"R$ 20,60",66.20%,Feb 2016,—,
Hot & Steamy Knights,-70%,"R$ 10,79",66.18%,Jul 2019,,
Eldrea: SEX Saga 🔞,-35%,"R$ 21,44",66.17%,Sep 2024,in 5 days,9 days ago
Angry Squirrel,-50%,"R$ 1,74",66.16%,Apr 2021,in 11 days,3 days ago
Dude Simulator 3,-86%,"R$ 2,37",66.12%,Aug 2019,in 7 days,7 days ago
WARCANA,-32%,"R$ 61,19",66.07%,Aug 2024,—,11 days ago
Hamilton's Great Adventure,-90%,"R$ 3,29",66.02%,May 2011,in 11 days,3 days ago
Escape from the hospital,-72%,"R$ 1,95",66.01%,May 2020,in 12 days,5 hours ago
Leviathan ~A Survival RPG~,-75%,"R$ 5,17",65.99%,Nov 2018,in 11 days,yesterday
Memento Mori 2,-80%,"R$ 13,99",65.98%,May 2014,in 3 days,4 days ago
Viticulture Essential Edition,-60%,"R$ 11,59",65.97%,Jul 2020,in 5 days,2 days ago
Trials Fusion™,-75%,"R$ 14,99",65.96%,Apr 2014,in 2 days,12 days ago
Food Truck Simulator,-45%,"R$ 20,89",65.95%,Sep 2022,in 10 days,4 days ago
Inquisitor,-66%,"R$ 11,21",65.90%,Sep 2012,in 10 days,4 days ago
The Dragoness: Command of the Flame,-60%,"R$ 23,99",65.87%,Sep 2022,in 5 days,2 days ago
Unalive,-90%,"R$ 1,74",65.84%,Jan 2017,in 4 days,10 days ago
Fat Prisoner Simulator 2,-50%,"R$ 1,74",65.81%,Jun 2019,in 7 days,7 days ago
Demented,-90%,"R$ 1,74",65.80%,Mar 2016,in 4 days,10 days ago
Banana Hell,-30%,"R$ 6,29",65.76%,Nov 2020,,
Blind,-90%,"R$ 7,39",65.73%,Sep 2018,,
Liquid Pinball,-50%,"R$ 1,74",65.72%,Nov 2016,,
Furry Arena [18+],-45%,"R$ 3,84",65.68%,Dec 2022,,
Warrior Kings,-80%,"R$ 5,99",65.61%,Apr 2002,,
Here Be Dragons,-75%,"R$ 8,24",65.58%,Aug 2019,,
The Gallery,-35%,"R$ 35,75",65.58%,Sep 2022,,
To The Rescue!,-50%,"R$ 29,99",65.56%,Nov 2021,,
METAL MAX Xeno Reborn,-70%,"R$ 32,39",65.46%,Jun 2022,,
True or False,-1%,"R$ 10,72",65.44%,Sep 2016,—,
Sugar Shack,-35%,"R$ 38,99",65.43%,Sep 2023,,
Three Kingdoms Zhao Yun,-45%,"R$ 32,99",65.39%,Jan 2024,,
Loot Hunter,-70%,"R$ 7,05",65.37%,Jan 2015,,
Inner silence,-50%,"R$ 1,74",65.36%,Feb 2017,,
Absolute Tactics: Daughters of Mercy,-35%,"R$ 48,09",65.25%,Sep 2022,,
Hare In The Hat,-60%,"R$ 2,79",65.10%,Apr 2015,,
One Lonely Outpost,-25%,"R$ 58,48",65.01%,Jun 2023,—,
Tokaido,-50%,"R$ 33,49",64.99%,Dec 2017,,
Valor & Victory,-50%,"R$ 29,99",64.98%,Jun 2021,,
DYNASTY WARRIORS 8 Empires,-66%,"R$ 30,93",64.96%,Feb 2015,,
Homeseek,-50%,"R$ 36,99",64.96%,Jul 2023,,
Cafe Owner Simulator,-60%,"R$ 23,19",64.92%,Dec 2022,,
Creatura,-38%,"R$ 27,94",64.92%,Mar 2021,—,
Possessed,-90%,"R$ 1,74",64.90%,May 2017,,
No Longer Home,-80%,"R$ 9,39",64.84%,Jul 2021,,
The Keep,-70%,"R$ 14,09",64.80%,Mar 2017,,
Kingdom Wars 4,-70%,"R$ 17,99",64.73%,Oct 2021,,
Silicone-2,-50%,"R$ 1,74",64.73%,Jun 2015,,
Kingdom Wars 2: Definitive Edition,-50%,"R$ 16,49",64.70%,Jul 2019,,
All-Star Fruit Racing,-90%,"R$ 4,69",64.69%,Jul 2018,,
LakeSide,-35%,"R$ 22,74",64.68%,Mar 2024,,
Rebirth:Beware of Mr.Wang,-53%,"R$ 8,73",64.66%,Sep 2021,,
Battle Worlds: Kronos,-75%,"R$ 9,24",64.59%,Nov 2013,,
Agent Walker: Secret Journey,-70%,"R$ 14,09",64.59%,Sep 2016,,
Age of Gladiators II: Rome,-70%,"R$ 9,66",64.48%,Aug 2018,,
ServiceIT: You can do IT,-30%,"R$ 39,64",64.40%,Mar 2024,—,
Hollow's Land,-90%,"R$ 1,74",64.35%,Dec 2014,,
The Dead End,-35%,"R$ 18,84",64.35%,May 2022,,
Hacker Evolution,-50%,"R$ 1,74",64.31%,Sep 2010,,
Magic Box,-50%,"R$ 1,74",64.22%,Jan 2017,,
Mumps,-90%,"R$ 1,74",64.21%,Jan 2018,,
Amigo: Kebab Simulator,-30%,"R$ 25,05",64.20%,Apr 2023,,
Among Waifus 18+,-65%,"R$ 5,07",64.14%,Dec 2021,,
Who Pressed Mute on Uncle Marcus?,-56%,"R$ 20,67",64.10%,Mar 2022,,
Tom Clancy’s Rainbow Six® Extraction,-75%,"R$ 42,49",64.07%,Jun 2023,,
The Hunting God,-70%,"R$ 2,09",64.03%,Jul 2017,,
Last Anime boy: Saving loli,-50%,"R$ 1,74",64.03%,Nov 2017,,
Sons of Valhalla,-50%,"R$ 24,99",64.02%,Apr 2024,,
Gamer Girls: Dating Sim,-70%,"R$ 4,34",64.01%,May 2022,,
BLADESTORM: Nightmare,-75%,"R$ 26,49",63.94%,May 2015,,
Trials® Rising,-80%,"R$ 11,99",63.91%,Feb 2019,,
Harem Hunter: Sex-ray Vision,-50%,"R$ 17,99",63.86%,Jan 2021,,
Ball of Wonder,-33%,"R$ 75,36",63.83%,Oct 2016,—,
Moonshine Inc.,-18%,"R$ 38,23",63.77%,Dec 2022,—,
Monster Outbreak,-67%,"R$ 15,50",63.76%,Oct 2022,,
Xenon Racer,-90%,"R$ 4,69",63.52%,Mar 2019,,
IfSunSets,-10%,"R$ 53,99",63.49%,Nov 2024,,
Outbreak: The New Nightmare,-85%,"R$ 4,03",63.48%,Jan 2018,,
Lilipalace,-75%,"R$ 6,72",63.40%,Jul 2018,,
Memento Mori,-80%,"R$ 6,99",63.39%,Nov 2012,,
Heart attack,-72%,"R$ 1,95",63.38%,Jan 2023,,
The Secret Order 4: Beyond Time,-70%,"R$ 14,09",63.38%,Sep 2016,,
Siege Wars,-65%,"R$ 2,44",63.33%,Jul 2015,,
Orgasm Simulator 2024 💦,-50%,"R$ 16,49",63.25%,Sep 2023,,
Dust Fleet,-50%,"R$ 29,99",63.21%,Aug 2023,,
Plane Accident,-31%,"R$ 36,49",63.20%,Feb 2024,—,
The Isle Tide Hotel,-35%,"R$ 38,99",63.18%,Sep 2023,,
Mia and the Dragon Princess,-35%,"R$ 30,54",63.17%,May 2023,,
Dark Hero Party,-35%,"R$ 18,84",63.04%,Apr 2020,,
Cris Tales,-90%,"R$ 7,54",62.95%,Jul 2021,,
Deadwater Saloon,-29%,"R$ 32,15",62.92%,Sep 2022,—,
Awaken: Hentai Dice,-10%,"R$ 42,29",62.83%,Nov 2024,,
Riding Star - Horse Championship!,-50%,"R$ 9,99",62.82%,Mar 2014,,
The Black Guards of Odom - Desert Town Prison,-20%,"R$ 26,39",62.76%,Dec 2023,,
Orgasm Simulator 2023,-50%,"R$ 16,49",62.73%,Jul 2023,,
Gamer Girls: Futanari,-70%,"R$ 4,34",62.70%,Aug 2022,,
UFO: Afterlight,-80%,"R$ 3,99",62.69%,Feb 2007,,
Deviant Dungeon,-70%,"R$ 12,89",62.67%,Jan 2019,,
Lisa and the Grimoire,-50%,"R$ 16,49",62.61%,Feb 2021,,
The Escapists: The Walking Dead,-80%,"R$ 9,19",62.42%,Sep 2015,,
Tibetan Quest: Beyond the World's End,-75%,"R$ 11,74",62.39%,Apr 2016,,
Godstrike,-67%,"R$ 15,50",62.39%,Apr 2021,,
Mech Mechanic Simulator,-29%,"R$ 40,54",62.36%,Mar 2021,—,
Sex Bar Simulator 🍸🔞,-50%,"R$ 16,49",62.32%,Aug 2023,,
Fruit Arranger,-50%,"R$ 1,74",62.30%,Jan 2017,in 12 days,2 days ago
Horny Fantasy Girl Hentai,-31%,"R$ 2,40",62.28%,May 2021,in 14 days,5 hours ago
"Fairy Tale About Father Frost, Ivan and Nastya",-80%,"R$ 2,39",62.26%,Dec 2000,in 3 days,4 days ago
Spinch,-65%,"R$ 16,44",62.21%,Sep 2020,in 6 days,yesterday
Big Buck Hunter Arcade,-90%,"R$ 1,99",62.20%,Oct 2016,in 6 days,8 days ago
Black Legend,-50%,"R$ 18,99",62.19%,Mar 2021,in 3 days,4 days ago
Lovelorn sanatoriumⅠ,-37%,"R$ 16,68",62.06%,Nov 2022,in 7 days,8 days ago
ПОСЛЕДНИЙ ДЕНЬ В УРЮПИНСКЕ,-70%,"R$ 2,09",62.05%,Dec 2021,in 7 days,7 days ago
Queen's Quest: Tower of Darkness,-80%,"R$ 9,39",61.96%,Sep 2015,in 11 days,3 days ago
OnlyFap: Fitness Baby 🔞💦,-55%,"R$ 6,52",61.95%,Dec 2022,in 5 days,9 days ago
Zoeti,-25%,"R$ 44,99",61.91%,Apr 2023,in 5 days,2 days ago
琉隐,-70%,"R$ 5,57",61.87%,Dec 2021,in 3 days,4 days ago
Demon Hunter 4: Riddles of Light,-70%,"R$ 8,69",61.82%,Feb 2018,in 11 days,3 days ago
Tidalis,-75%,"R$ 4,24",61.81%,Jul 2010,in 3 days,4 days ago
Demon Hunter: Chronicles from Beyond,-80%,"R$ 9,39",61.80%,Dec 2014,in 11 days,3 days ago
Magna Fortuna,-50%,"R$ 14,49",61.80%,Mar 2022,in 11 days,yesterday
Nickelodeon Kart Racers 3: Slime Speedway,-85%,"R$ 14,09",61.71%,Oct 2022,,
Holy Road,-80%,"R$ 7,59",61.71%,Apr 2019,,
Gamer Girls: Cyberpunk 2069,-70%,"R$ 4,34",61.71%,Dec 2021,,
Frozen Synapse 2,-50%,"R$ 28,99",61.59%,Sep 2018,,
Townopolis,-80%,"R$ 3,39",61.57%,Oct 2008,,
Star Merchant,-50%,"R$ 1,74",61.53%,Mar 2017,,
侠客春秋,-45%,"R$ 6,60",61.53%,Jun 2023,,
Dance of Death,-80%,"R$ 2,75",61.52%,Dec 2015,,
Cage of the Succubi,-50%,"R$ 13,44",61.52%,Dec 2019,,
King's Bounty II,-90%,"R$ 20,00",61.49%,Aug 2021,,
Pathfinder Adventures,-75%,"R$ 8,24",61.48%,Jun 2017,,
LOST PLANET® 3,-80%,"R$ 9,19",61.42%,Aug 2013,,
The Moment of Silence,-80%,"R$ 9,99",61.40%,Mar 2005,,
Trackmania² Lagoon,-50%,"R$ 29,99",61.37%,May 2017,,
Enlightenment,-85%,"R$ 3,59",61.35%,Aug 2017,,
I Am Your President,-50%,"R$ 23,49",61.25%,Feb 2023,,
Cube Land Arena,-90%,"R$ 1,74",61.22%,Mar 2016,,
Explorers of the Abyss,-50%,"R$ 18,99",61.21%,Jun 2021,,
ROMANCE OF THE THREE KINGDOMS XIV,-40%,"R$ 119,94",61.19%,Jan 2020,,
Against All Odds,-50%,"R$ 8,49",61.11%,May 2023,,
Phantom Thief Celianna,-80%,"R$ 5,37",61.08%,Nov 2018,,
GangV | VR & PC Battle Royale,-50%,"R$ 14,49",61.07%,Apr 2021,,
The Wisbey Mystery,-79%,"R$ 3,35",61.06%,Jan 2017,,
WIN THE GAME: DO IT!,-50%,"R$ 1,74",61.04%,May 2018,,
Car Demolition Clicker,-87%,"R$ 1,88",61.00%,Jul 2018,,
John Wick Hex,-80%,"R$ 11,99",60.99%,Dec 2020,,
SQUID GIRLS 18+,-75%,"R$ 3,62",60.91%,Feb 2022,,
The Settlers® 7 : History Edition,-60%,"R$ 17,99",60.83%,Jan 2019,,
Depraved,-90%,"R$ 3,79",60.67%,Sep 2019,,
JQ: countries,-50%,"R$ 1,74",60.65%,Feb 2018,,
